일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20190205,800,영등포구,2.8,24,0,0.2,93,2019-02-05,2
20190205,1800,영등포구,2.8,62,0,1.7,93,2019-02-05,2
20190205,1900,영등포구,2.8,61,0,2.4,93,2019-02-05,2
20190206,700,강서구,5.1,55,0,2.6,109,2019-02-06,3
20190206,800,강서구,5.1,57,0,1.9,109,2019-02-06,3
20190206,1800,강서구,5.1,91,0,1.9,109,2019-02-06,3
20190206,1900,강서구,5.1,90,0,2.2,109,2019-02-06,3
20190206,700,마포구,5.1,53,0,2,109,2019-02-06,3
20190206,800,마포구,5.1,55,0,1,109,2019-02-06,3
20190206,1800,마포구,5.1,86,0,2.5,109,2019-02-06,3
20190206,1900,마포구,5.1,85,0,4.6,109,2019-02-06,3
20190206,700,송파구,5.1,60,0,1.2,91,2019-02-06,3
20190206,800,송파구,5.1,61,0,0.9,91,2019-02-06,3
20190206,1800,송파구,5.1,88,0,2.5,91,2019-02-06,3
20190206,1900,송파구,5.1,88,0,2.5,91,2019-02-06,3
20190206,700,영등포구,5.1,53,0,2,100,2019-02-06,3
20190206,800,영등포구,5.1,55,0,1,100,2019-02-06,3
20190206,1800,영등포구,5.1,86,0,2.5,100,2019-02-06,3
20190206,1900,영등포구,5.1,85,0,4.6,100,2019-02-06,3
20190207,700,강서구,-2.1,23,0,2.2,68,2019-02-07,4
20190207,800,강서구,-2.1,30,0,2.3,68,2019-02-07,4
20190207,1800,강서구,-2.1,37,0,1.3,68,2019-02-07,4
20190207,1900,강서구,-2.1,37,0,1.6,68,2019-02-07,4
20190207,700,마포구,-2.1,28,0,4.7,58,2019-02-07,4
20190207,800,마포구,-2.1,33,0,5.3,58,2019-02-07,4
20190207,1800,마포구,-2.1,44,0,3.3,58,2019-02-07,4
20190207,1900,마포구,-2.1,44,0,2.5,58,2019-02-07,4
20190207,700,송파구,-2.1,25,0,4.5,59,2019-02-07,4
20190207,800,송파구,-2.1,28,0,3.1,59,2019-02-07,4
20190207,1800,송파구,-2.1,39,0,1,59,2019-02-07,4
20190207,1900,송파구,-2.1,40,0,1.4,59,2019-02-07,4
20190207,700,영등포구,-2.1,28,0,4.7,62,2019-02-07,4
20190207,800,영등포구,-2.1,33,0,5.3,62,2019-02-07,4
20190207,1800,영등포구,-2.1,44,0,3.3,62,2019-02-07,4
20190207,1900,영등포구,-2.1,44,0,2.5,62,2019-02-07,4
20190208,700,강서구,-6.1,28,0,1.1,32,2019-02-08,5
20190208,800,강서구,-6.1,34,0,1.4,32,2019-02-08,5
20190208,1800,강서구,-6.1,38,0,1.7,32,2019-02-08,5
20190208,1900,강서구,-6.1,45,0,2.2,32,2019-02-08,5
20190208,700,마포구,-6.1,32,0,2.9,32,2019-02-08,5
20190208,800,마포구,-6.1,37,0,3,32,2019-02-08,5
20190208,1800,마포구,-6.1,41,0,4.6,32,2019-02-08,5
